"GA_Id","Name","YE_Id","Filename","FileToRun","FilenameIndex","ScrnshotFilename","MU_Id","GE_Id","PU_Id","DI_Id","CR_Id","SidFilename","DateLastPlayed","TimesPlayed","CCode","HighScore","FA","SA","Fav","PR_Id","LA_Id","Extras","Classic","Rating","V_PalNTSC","V_Length","V_Trainers","PlayersFrom","PlayersTo","PlayersSim","Adult","MemoText","Prequel","Sequel","Related","Control","CRC","Filesize","Version","Gemus","V_LengthType","Comment","V_Comment","V_LoadingScreen","V_HighScoreSaver","V_IncludedDocs","V_TrueDriveEmu","AR_Id","DE_Id","LI_Id","RA_Id","WebLink_Name","WebLink_URL","V_WebLink_Name","V_WebLink_URL","V_TitleScreen","V_Playable","V_Original","CloneOf","ReviewRating"
"20314","Dinosaur Dig","24","d1\DINODIG0_20314_02.zip","DINODIG0.D64","0","D\Dinosaur_Dig.png","38","49","256","8","1275","","","0","4","","0","0","0","1","2","1","0","0","3","2","0","1","1","0","0","EasyKey keyboard overlay ------------------------ .  GREEN START KEY =  -> KEY 0  Dino Discovery +  Dino Dig  -  Dino Flash o  Fact or Fable ? p  Who's Biggest? ","0","0","0","2","","0","2","","1","","","1","0","0","1","1","121","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20314","","","2","2","2","0","-1"
"20315","Key-Quest 64","24","k\KEYQUEST_20315_01.zip","","0","K\Key-Quest_64.png","39","59","2393","8","7","","","0","4","","0","0","0","7670","2","1","0","0","3","49","0","1","2","1","0","","0","0","0","1","","0","1","","0","part of 'Arcade Action' game pack","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20315","","","2","2","2","0","-1"
"20316","Joe Gunn","47","j\JOEGUNN_20316_04.zip","","0","J\Joe_Gunn.png","1219","91","1889","8","1556","MUSICIANS\L\Laxity\Joe_Gunn.sid","","0","4","","0","0","0","7671","9","1","0","0","1","250","11","1","1","0","0","","0","0","0","0","","0","4","","0","Gold version","","1","0","1","0","2907","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20316","","","2","2","2","0","-1"
"20317","Liverpool FC [Preview]","30","l2\LIVERP-0_20317_01.zip","LIVERP-0.D64","0","L\Liverpool_FC_[Preview].png","69","32","3164","8","30","MUSICIANS\C\Cannon_Matthew\Liverpool_FC.sid","","0","4","","0","0","0","1968","2","0","0","0","3","2","0","1","1","0","0","","0","0","0","0","","0","1","","1","","","0","0","0","0","338","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20317","","","2","2","2","0","-1"
"20318","Guerra in Gzabeg","28","g2\GUERRAIG_20318_01.zip","","0","G\Guerra_in_Gzabeg.png","97","6","37","8","1023","MUSICIANS\Z\Zicchi_Giulio\Hell_for_Leather.sid","","0","4","","0","0","0","816","5","0","0","0","3","130","0","1","2","1","0","","0","0","0","0","","0","1","","0","","","0","0","0","0","1903","492","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20318","","","2","2","2","3485","-1"
"20320","Mars Project, Das","29","m1\MARSPROJ_20320_01.zip","","0","M\Das_Mars_Project.png","1710","19","37","8","7","MUSICIANS\M\Mettler_Andreas\Das_Mars_Project.sid","","0","4","","0","0","0","782","3","0","0","0","3","417","0","1","1","0","0","","0","0","0","0","","0","1","","0","","","0","0","0","0","796","505","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20320","","","2","2","2","0","-1"
"20321","Mau-Mau 4.0","38","m1\MAU-MAU4_20321_01.zip","","0","M\Mau-Mau_40.png","39","190","2536","8","7","","","0","4","","0","0","0","1","3","0","0","0","3","22","0","1","1","0","0","","0","0","0","0","","0","1","","0","Tiger-Crew-Disk #051 (06/1998)","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20321","","","2","2","2","0","-1"
"20322","Save the Droids","4","","","0","","38","1","3128","8","8","","","0","4","","0","0","0","575","2","1","0","0","1","0","-1","-1","-1","0","0","","0","0","0","0","","0","1","","0","mentioned in an online article about Michael A. Knox","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20322","","","2","2","2","0","-1"
"20323","Ducks are Coming, The","4","","","0","","38","1","3128","8","8","","","0","4","","0","0","0","575","2","1","0","0","1","0","-1","-1","-1","0","0","","0","0","0","0","","0","1","","0","mentioned in an online article about Michael A. Knox","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20323","","","2","2","2","0","-1"
"20324","Mine Sweepers","4","","","0","","38","61","3128","8","8","","","0","4","","0","0","0","575","2","1","0","0","1","0","-1","-1","-1","0","0","","0","0","0","0","","0","1","","0","mentioned in an online article about Michael A. Knox","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20324","","","2","2","2","0","-1"
