"name","image_url","game_page_url","release_date","console","developer","publisher","l1","l2","l1_url","l2_url"
"Milon no Hoshizora Shabon - Puzzle Kumikyoku","","https://www.zophar.net/music/nintendo-ds-2sf/milon-no-hoshizora-shabon-puzzle-kumikyoku","Jul 6th,2006","Nintendo DS","","Hudson","Download all files as MP3 (49 MB)","Download original music files (717 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/milon-no-hoshizora-shabon-puzzle-kumikyoku/rhnbfvmk/Milon%20no%20Hoshizora%20Shabon%20-%20Puzzle%20Kumikyoku%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/milon-no-hoshizora-shabon-puzzle-kumikyoku/Milon%20no%20Hoshizora%20Shabon%20-%20Puzzle%20Kumikyoku%20%28EMU%29.zophar.zip"
"Mimi de Unou wo Kitaeru DS - Chou-Nouryoku","","https://www.zophar.net/music/nintendo-ds-2sf/mimi-de-unou-wo-kitaeru-ds-chou-nouryoku","Jul 26th,2007","Nintendo DS","","MileStone","Download all files as MP3 (10 MB)","Download original music files (3 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mimi-de-unou-wo-kitaeru-ds-chou-nouryoku/wgmgdian/Mimi%20de%20Unou%20wo%20Kitaeru%20DS%20-%20Chou-Nouryoku%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mimi-de-unou-wo-kitaeru-ds-chou-nouryoku/Mimi%20de%20Unou%20wo%20Kitaeru%20DS%20-%20Chou-Nouryoku%20%28EMU%29.zophar.zip"
"Minagara Oreru DS Origami","","https://www.zophar.net/music/nintendo-ds-2sf/minagara-oreru-ds-origami","Aug 9th,2007","Nintendo DS","","TDK Core","Download all files as MP3 (9 MB)","Download original music files (697 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minagara-oreru-ds-origami/agqhlyhf/Minagara%20Oreru%20DS%20Origami%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minagara-oreru-ds-origami/Minagara%20Oreru%20DS%20Origami%20%28EMU%29.zophar.zip"
"Mind Quiz - Your Brain Coach","","https://www.zophar.net/music/nintendo-ds-2sf/mind-quiz-your-brain-coach","Sep 14th,2006","Nintendo DS","","Sega","Download all files as MP3 (59 MB)","Download original music files (9 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mind-quiz-your-brain-coach/yntzzuyn/Mind%20Quiz%20-%20Your%20Brain%20Coach%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mind-quiz-your-brain-coach/Mind%20Quiz%20-%20Your%20Brain%20Coach%20%28EMU%29.zophar.zip"
"Mini RC Rally","","https://www.zophar.net/music/nintendo-ds-2sf/mini-rc-rally","Sep 9th,2006","Nintendo DS","InterActive Vision","Summitsoft","Download all files as MP3 (25 MB)","Download original music files (6 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mini-rc-rally/tmmggozw/Mini%20RC%20Rally%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mini-rc-rally/Mini%20RC%20Rally%20%28EMU%29.zophar.zip"
"Mini Yonkyu DS","","https://www.zophar.net/music/nintendo-ds-2sf/mini-yonkyu-ds","Dec 17th,2009","Nintendo DS","","Rocket Company","Download all files as MP3 (62 MB)","Download original music files (4 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mini-yonkyu-ds/ispsdigg/Mini%20Yonkyu%20DS%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mini-yonkyu-ds/Mini%20Yonkyu%20DS%20%28EMU%29.zophar.zip"
"Minna no Conveni","","https://www.zophar.net/music/nintendo-ds-2sf/minna-no-conveni","Feb 10th,2010","Nintendo DS","","Taito","Download all files as MP3 (45 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-no-conveni/hetcesdh/Minna%20no%20Conveni%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-no-conveni/Minna%20no%20Conveni%20%28EMU%29.zophar.zip"
"Minna no DS Seminar - Kanpeki Eitango Ryoku","","https://www.zophar.net/music/nintendo-ds-2sf/minna-no-ds-seminar-kanpeki-eitango-ryoku","Jul 20th,2006","Nintendo DS","Will","TDK Core","Download all files as MP3 (61 MB)","Download original music files (807 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-no-ds-seminar-kanpeki-eitango-ryoku/fsgwuhzu/Minna%20no%20DS%20Seminar%20-%20Kanpeki%20Eitango%20Ryoku%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-no-ds-seminar-kanpeki-eitango-ryoku/Minna%20no%20DS%20Seminar%20-%20Kanpeki%20Eitango%20Ryoku%20%28EMU%29.zophar.zip"
"Minna no DS Seminar - Kanpeki Kanji Ryoku","","https://www.zophar.net/music/nintendo-ds-2sf/minna-no-ds-seminar-kanpeki-kanji-ryoku","Jul 20th,2006","Nintendo DS","Will","TDK Core","Download all files as MP3 (50 MB)","Download original music files (733 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-no-ds-seminar-kanpeki-kanji-ryoku/hbiyhjyd/Minna%20no%20DS%20Seminar%20-%20Kanpeki%20Kanji%20Ryoku%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-no-ds-seminar-kanpeki-kanji-ryoku/Minna%20no%20DS%20Seminar%20-%20Kanpeki%20Kanji%20Ryoku%20%28EMU%29.zophar.zip"
"Minna no Mahjong DS","","https://www.zophar.net/music/nintendo-ds-2sf/minna-no-mahjong-ds","Apr 28th,2005","Nintendo DS","","MTO","Download all files as MP3 (42 MB)","Download original music files (770 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-no-mahjong-ds/ymtqkkcx/Minna%20no%20Mahjong%20DS%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-no-mahjong-ds/Minna%20no%20Mahjong%20DS%20%28EMU%29.zophar.zip"
"Minna to Kimi no Piramekino!","","https://www.zophar.net/music/nintendo-ds-2sf/minna-to-kimi-no-piramekino","Nov 25th,2010","Nintendo DS","Infinity","Bandai Namco","Download all files as MP3 (91 MB)","Download original music files (17 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-to-kimi-no-piramekino/vnaskhrn/Minna%20to%20Kimi%20no%20Piramekino%21%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/minna-to-kimi-no-piramekino/Minna%20to%20Kimi%20no%20Piramekino%21%20%28EMU%29.zophar.zip"
"Miss Princess - MisPri!","","https://www.zophar.net/music/nintendo-ds-2sf/miss-princess-mispri","Nov 17th,2011","Nintendo DS","","Koei Tecmo","Download all files as MP3 (75 MB)","Download original music files (3 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/miss-princess-mispri/zdpmhmaw/Miss%20Princess%20-%20MisPri%21%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/miss-princess-mispri/Miss%20Princess%20-%20MisPri%21%20%28EMU%29.zophar.zip"
"Miss Spider's Sunny Patch Friends - Harvest Time Hop and Fly","","https://www.zophar.net/music/nintendo-ds-2sf/miss-spiders-sunny-patch-friends-harvest-time-hop-and-fly","May 30th,2006","Nintendo DS","Shin'en","Game Factory, The","Download all files as MP3 (37 MB)","Download original music files (609 KB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/miss-spiders-sunny-patch-friends-harvest-time-hop-and-fly/tgjqddzq/Miss%20Spider%27s%20Sunny%20Patch%20Friends%20-%20Harvest%20Time%20Hop%20and%20Fly%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/miss-spiders-sunny-patch-friends-harvest-time-hop-and-fly/Miss%20Spider%27s%20Sunny%20Patch%20Friends%20-%20Harvest%20Time%20Hop%20and%20Fly%20%28EMU%29.zophar.zip"
"Mission Runway","","https://www.zophar.net/music/nintendo-ds-2sf/mission-runway","Mar2008","Nintendo DS","Denaris, Independent Arts","dtp","Download all files as MP3 (7 MB)","Download original music files (6 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mission-runway/jstyybnq/Mission%20Runway%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mission-runway/Mission%20Runway%20%28EMU%29.zophar.zip"
"Mister Slime","","https://www.zophar.net/music/nintendo-ds-2sf/mister-slime","Jul 23rd,2007","Nintendo DS","Lexis Numerique, Vector Cell","dtp","Download all files as MP3 (48 MB)","Download original music files (4 MB)","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mister-slime/qedaipco/Mister%20Slime%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-ds-2sf/mister-slime/Mister%20Slime%20%28EMU%29.zophar.zip"
