"name","image_url","game_page_url","release_date","console","developer","publisher","l1","l2","l1_url","l2_url"
"Super Ninja Boy","","https://www.zophar.net/music/nintendo-snes-spc/super-ninja-boy","Dec 28th,1992","SNES","","Culture Brain","Download all files as MP3 (102 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-ninja-boy/ppyqcspi/Super%20Ninja%20Boy%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-ninja-boy/Super%20Ninja%20Boy%20%28EMU%29.zophar.zip"
"Super Ninja-kun","","https://www.zophar.net/music/nintendo-snes-spc/super-ninja-kun","Aug 5th,1994","SNES","Jaleco","Jaleco","Download all files as MP3 (47 MB)","Download original music files (770 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-ninja-kun/nlpitnex/Super%20Ninja-kun%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-ninja-kun/Super%20Ninja-kun%20%28EMU%29.zophar.zip"
"Super Noah's Ark 3D","","https://www.zophar.net/music/nintendo-snes-spc/super-noahs-ark-3d","","SNES","Wisdom Tree, iD","Wisdom Tree","Download original music files (497 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-noahs-ark-3d/Super%20Noah%27s%20Ark%203D%20%28EMU%29.zophar.zip"
"Super Nova","","https://www.zophar.net/music/nintendo-snes-spc/super-nova","Sep 24th,1993","SNES","Taito","Taito","Download all files as MP3 (88 MB)","Download original music files (704 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-nova/ttehvnwu/Super%20Nova%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-nova/Super%20Nova%20%28EMU%29.zophar.zip"
"Super Off Road","","https://www.zophar.net/music/nintendo-snes-spc/super-off-road","Dec1991","SNES","Software Creations","Tradewest","Download all files as MP3 (46 MB)","Download original music files (662 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-off-road/vgjvzefs/Super%20Off%20Road%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-off-road/Super%20Off%20Road%20%28EMU%29.zophar.zip"
"Super Off Road - The Baja","","https://www.zophar.net/music/nintendo-snes-spc/super-off-road-the-baja","Sep1993","SNES","Leland","Tradewest","Download all files as MP3 (37 MB)","Download original music files (267 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-off-road-the-baja/dbvjwarx/Super%20Off%20Road%20-%20The%20Baja%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-off-road-the-baja/Super%20Off%20Road%20-%20The%20Baja%20%28EMU%29.zophar.zip"
"Super Okuman Chouja Game - The Game of Billionaire","","https://www.zophar.net/music/nintendo-snes-spc/super-okuman-chouja-game-the-game-of-billionaire","Nov 24th,1995","SNES","","Takara","Download all files as MP3 (31 MB)","Download original music files (403 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-okuman-chouja-game-the-game-of-billionaire/esyxzrrp/Super%20Okuman%20Chouja%20Game%20-%20The%20Game%20of%20Billionaire%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-okuman-chouja-game-the-game-of-billionaire/Super%20Okuman%20Chouja%20Game%20-%20The%20Game%20of%20Billionaire%20%28EMU%29.zophar.zip"
"Super Oozumou - Nessen Ou Ichiban","","https://www.zophar.net/music/nintendo-snes-spc/super-oozumou-nessen-ou-ichiban","Dec 18th,1992","SNES","","Namco","Download all files as MP3 (10 MB)","Download original music files (392 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-oozumou-nessen-ou-ichiban/kzhnrhfs/Super%20Oozumou%20-%20Nessen%20Ou%20Ichiban%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-oozumou-nessen-ou-ichiban/Super%20Oozumou%20-%20Nessen%20Ou%20Ichiban%20%28EMU%29.zophar.zip"
"Super Pachinko","","https://www.zophar.net/music/nintendo-snes-spc/super-pachinko","Jul 29th,1994","SNES","Betop","I'Max","Download all files as MP3 (61 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-pachinko/dxsghjjg/Super%20Pachinko%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-pachinko/Super%20Pachinko%20%28EMU%29.zophar.zip"
"Super Pachinko Taisen","","https://www.zophar.net/music/nintendo-snes-spc/super-pachinko-taisen","Apr 28th,1995","SNES","","Banpresto","Download all files as MP3 (44 MB)","Download original music files (470 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-pachinko-taisen/xujkfwql/Super%20Pachinko%20Taisen%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-pachinko-taisen/Super%20Pachinko%20Taisen%20%28EMU%29.zophar.zip"
"Super Pinball - Behind the Mask","","https://www.zophar.net/music/nintendo-snes-spc/super-pinball-behind-the-mask","","SNES","",""
"Super Pinball II - The Amazing Odyssey","","https://www.zophar.net/music/nintendo-snes-spc/super-pinball-ii-the-amazing-odyssey","Mar 17th,1995","SNES","KAZe","Meldac","Download all files as MP3 (42 MB)","Download original music files (500 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-pinball-ii-the-amazing-odyssey/udzgtafz/Super%20Pinball%20II%20-%20The%20Amazing%20Odyssey%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-pinball-ii-the-amazing-odyssey/Super%20Pinball%20II%20-%20The%20Amazing%20Odyssey%20%28EMU%29.zophar.zip"
"Super Play Action Football","","https://www.zophar.net/music/nintendo-snes-spc/super-play-action-football","Aug1992","SNES","Tose","Nintendo","Download all files as MP3 (17 MB)","Download original music files (903 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-play-action-football/tcsoxwaj/Super%20Play%20Action%20Football%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-play-action-football/Super%20Play%20Action%20Football%20%28EMU%29.zophar.zip"
"Super Power League","","https://www.zophar.net/music/nintendo-snes-spc/super-power-league","Aug 6th,1993","SNES","Now Production","Hudson","Download all files as MP3 (23 MB)","Download original music files (713 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-power-league/knjdbaic/Super%20Power%20League%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-power-league/Super%20Power%20League%20%28EMU%29.zophar.zip"
"Super Power League 2","","https://www.zophar.net/music/nintendo-snes-spc/super-power-league-2","Aug 3rd,1994","SNES","Now Production","Hudson","Download all files as MP3 (19 MB)","Download original music files (618 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-power-league-2/zgrvjqaw/Super%20Power%20League%202%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-power-league-2/Super%20Power%20League%202%20%28EMU%29.zophar.zip"
"Super Power League 3","","https://www.zophar.net/music/nintendo-snes-spc/super-power-league-3","Aug 10th,1995","SNES","Now Production","Hudson","Download all files as MP3 (22 MB)","Download original music files (545 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-power-league-3/nqrqvlsz/Super%20Power%20League%203%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-power-league-3/Super%20Power%20League%203%20%28EMU%29.zophar.zip"
"Super Power League 4","","https://www.zophar.net/music/nintendo-snes-spc/super-power-league-4","Aug 9th,1996","SNES","Now Production","Hudson","Download all files as MP3 (25 MB)","Download original music files (316 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-power-league-4/fvoqdcvx/Super%20Power%20League%204%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-power-league-4/Super%20Power%20League%204%20%28EMU%29.zophar.zip"
"Super Professional Baseball 2","","https://www.zophar.net/music/nintendo-snes-spc/super-professional-baseball-2","Aug 7th,1992","SNES","Tose","Jaleco","Download all files as MP3 (23 MB)","Download original music files (819 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-professional-baseball-2/yechsyoi/Super%20Professional%20Baseball%202%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-professional-baseball-2/Super%20Professional%20Baseball%202%20%28EMU%29.zophar.zip"
"Super Punch-Out!!","","https://www.zophar.net/music/nintendo-snes-spc/super-punch-out","Oct1994","SNES","Nintendo IRD","Nintendo","Download all files as MP3 (57 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-punch-out/plizcrsf/Super%20Punch-Out%21%21%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-punch-out/Super%20Punch-Out%21%21%20%28EMU%29.zophar.zip"
"Super Putty","","https://www.zophar.net/music/nintendo-snes-spc/super-putty","Jul 30th,1993","SNES","System 3","System 3","Download all files as MP3 (34 MB)","Download original music files (741 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-putty/zmctwpai/Super%20Putty%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-putty/Super%20Putty%20%28EMU%29.zophar.zip"
"Super Puyo Puyo Tsuu","","https://www.zophar.net/music/nintendo-snes-spc/super-puyo-puyo-tsuu","Dec 8th,1995","SNES","Compile","Compile","Download all files as MP3 (51 MB)","Download original music files (684 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-puyo-puyo-tsuu/uwyhpqna/Super%20Puyo%20Puyo%20Tsuu%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-puyo-puyo-tsuu/Super%20Puyo%20Puyo%20Tsuu%20%28EMU%29.zophar.zip"
"Super Puyo Puyo Tsuu Remix","","https://www.zophar.net/music/nintendo-snes-spc/super-puyo-puyo-tsuu-remix","Mar 8th,1996","SNES","Compile","Compile","Download all files as MP3 (52 MB)","Download original music files (598 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-puyo-puyo-tsuu-remix/xzborprf/Super%20Puyo%20Puyo%20Tsuu%20Remix%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-puyo-puyo-tsuu-remix/Super%20Puyo%20Puyo%20Tsuu%20Remix%20%28EMU%29.zophar.zip"
"Super R-Type","","https://www.zophar.net/music/nintendo-snes-spc/super-r-type","Jul 13th,1991","SNES","Irem","Irem","Download all files as MP3 (63 MB)","Download original music files (571 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-r-type/fcccjymp/Super%20R-Type%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-r-type/Super%20R-Type%20%28EMU%29.zophar.zip"
"Super R.B.I. Baseball","","https://www.zophar.net/music/nintendo-snes-spc/super-rbi-baseball","Jun1995","SNES","Gray Matter","Time Warner","Download all files as MP3 (17 MB)","Download original music files (450 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-rbi-baseball/bqjxpjwj/Super%20R.B.I.%20Baseball%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-rbi-baseball/Super%20R.B.I.%20Baseball%20%28EMU%29.zophar.zip"
"Super Real Mahjong PIV","","https://www.zophar.net/music/nintendo-snes-spc/super-real-mahjong-piv","Mar 25th,1994","SNES","Affect","Seta","Download all files as MP3 (78 MB)","Download original music files (944 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-real-mahjong-piv/dngaavyy/Super%20Real%20Mahjong%20PIV%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-real-mahjong-piv/Super%20Real%20Mahjong%20PIV%20%28EMU%29.zophar.zip"
"Super Real Mahjong PV - Paradise All Star 4-nin Uchi","","https://www.zophar.net/music/nintendo-snes-spc/super-real-mahjong-pv-paradise-all-star-4-nin-uchi","Apr 21st,1995","SNES","Seta","Seta","Download all files as MP3 (53 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-real-mahjong-pv-paradise-all-star-4-nin-uchi/kuupiilb/Super%20Real%20Mahjong%20PV%20-%20Paradise%20All%20Star%204-nin%20Uchi%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-real-mahjong-pv-paradise-all-star-4-nin-uchi/Super%20Real%20Mahjong%20PV%20-%20Paradise%20All%20Star%204-nin%20Uchi%20%28EMU%29.zophar.zip"
"Super Robot Taisen 3","","https://www.zophar.net/music/nintendo-snes-spc/super-robot-taisen-3","Jul 23rd,1993","SNES","Winkysoft","Banpresto","Download all files as MP3 (128 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-robot-taisen-3/gtukgzpv/Super%20Robot%20Taisen%203%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-robot-taisen-3/Super%20Robot%20Taisen%203%20%28EMU%29.zophar.zip"
"Super Robot Taisen 4","","https://www.zophar.net/music/nintendo-snes-spc/super-robot-taisen-4","Mar 17th,1995","SNES","Winkysoft","Banpresto","Download all files as MP3 (149 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-robot-taisen-4/gqpgkvzs/Super%20Robot%20Taisen%204%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-robot-taisen-4/Super%20Robot%20Taisen%204%20%28EMU%29.zophar.zip"
"Super Robot Taisen EX","","https://www.zophar.net/music/nintendo-snes-spc/super-robot-taisen-ex","Mar 25th,1994","SNES","Winkysoft","Banpresto","Download all files as MP3 (127 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-robot-taisen-ex/cjjnmmmu/Super%20Robot%20Taisen%20EX%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-robot-taisen-ex/Super%20Robot%20Taisen%20EX%20%28EMU%29.zophar.zip"
"Super Robot Taisen Gaiden - Masoukishin ~ The Lord of Elemental","","https://www.zophar.net/music/nintendo-snes-spc/super-robot-taisen-gaiden-masoukishin-the-lord-of-elemental","Mar 22nd,1996","SNES","Winkysoft","Banpresto","Download all files as MP3 (197 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-robot-taisen-gaiden-masoukishin-the-lord-of-elemental/qhutppik/Super%20Robot%20Taisen%20Gaiden%20-%20Masoukishin%20~%20The%20Lord%20of%20Elemental%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-robot-taisen-gaiden-masoukishin-the-lord-of-elemental/Super%20Robot%20Taisen%20Gaiden%20-%20Masoukishin%20~%20The%20Lord%20of%20Elemental%20%28EMU%29.zophar.zip"
"Super Sangokushi","","https://www.zophar.net/music/nintendo-snes-spc/super-sangokushi","Aug 12th,1994","SNES","","Koei","Download all files as MP3 (25 MB)","Download original music files (467 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-sangokushi/fqtngins/Super%20Sangokushi%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-sangokushi/Super%20Sangokushi%20%28EMU%29.zophar.zip"
"Super Shougi","","https://www.zophar.net/music/nintendo-snes-spc/super-shougi","Jun 19th,1992","SNES","","I'Max","Download all files as MP3 (34 MB)","Download original music files (419 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-shougi/xalshwcn/Super%20Shougi%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-shougi/Super%20Shougi%20%28EMU%29.zophar.zip"
"Super Shougi 2","","https://www.zophar.net/music/nintendo-snes-spc/super-shougi-2","Jun 17th,1994","SNES","","I'Max","Download all files as MP3 (29 MB)","Download original music files (554 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-shougi-2/lcuqefmx/Super%20Shougi%202%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-shougi-2/Super%20Shougi%202%20%28EMU%29.zophar.zip"
"Super Shougi 3 - Kitaihei","","https://www.zophar.net/music/nintendo-snes-spc/super-shougi-3-kitaihei","Dec 29th,1995","SNES","","I'Max","Download all files as MP3 (34 MB)","Download original music files (838 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-shougi-3-kitaihei/dusbxbdz/Super%20Shougi%203%20-%20Kitaihei%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-shougi-3-kitaihei/Super%20Shougi%203%20-%20Kitaihei%20%28EMU%29.zophar.zip"
"Super Slam Dunk","","https://www.zophar.net/music/nintendo-snes-spc/super-slam-dunk","Jul 16th,1993","SNES","Park Place","Virgin","Download all files as MP3 (4 MB)","Download original music files (69 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-slam-dunk/jyxflkty/Super%20Slam%20Dunk%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-slam-dunk/Super%20Slam%20Dunk%20%28EMU%29.zophar.zip"
"Super Slap Shot","","https://www.zophar.net/music/nintendo-snes-spc/super-slap-shot","Aug 20th,1993","SNES","Ringler Studios","Virgin","Download all files as MP3 (9 MB)","Download original music files (458 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-slap-shot/sbmkfcan/Super%20Slap%20Shot%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-slap-shot/Super%20Slap%20Shot%20%28EMU%29.zophar.zip"
"Super Smash T.V.","","https://www.zophar.net/music/nintendo-snes-spc/super-smash-tv","Feb1992","SNES","Beam","Nintendo","Download all files as MP3 (35 MB)","Download original music files (336 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-smash-tv/fwutjcrb/Super%20Smash%20T.V.%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-smash-tv/Super%20Smash%20T.V.%20%28EMU%29.zophar.zip"
"Super Soccer","","https://www.zophar.net/music/nintendo-snes-spc/super-soccer","Dec 13th,1991","SNES","Human","Human","Download all files as MP3 (61 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-soccer/bzwfqxem/Super%20Soccer%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-soccer/Super%20Soccer%20%28EMU%29.zophar.zip"
"Super Soccer Champ","","https://www.zophar.net/music/nintendo-snes-spc/super-soccer-champ","Mar 27th,1992","SNES","","Taito","Download all files as MP3 (5 MB)","Download original music files (393 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-soccer-champ/ansbuoww/Super%20Soccer%20Champ%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-soccer-champ/Super%20Soccer%20Champ%20%28EMU%29.zophar.zip"
"Super Solitaire","","https://www.zophar.net/music/nintendo-snes-spc/super-solitaire","Jan1994","SNES","Beam","Extreme Entertainment Group","Download all files as MP3 (24 MB)","Download original music files (174 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-solitaire/czkbechb/Super%20Solitaire%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-solitaire/Super%20Solitaire%20%28EMU%29.zophar.zip"
"Super Soukoban","","https://www.zophar.net/music/nintendo-snes-spc/super-soukoban","Jan 29th,1993","SNES","Pack-In-Video","Pack-In-Video","Download all files as MP3 (47 MB)","Download original music files (415 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-soukoban/raklcifx/Super%20Soukoban%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-soukoban/Super%20Soukoban%20%28EMU%29.zophar.zip"
"Super Star Wars","","https://www.zophar.net/music/nintendo-snes-spc/super-star-wars","Nov1992","SNES","Sculptured","JVC","Download all files as MP3 (49 MB)","Download original music files (978 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-star-wars/irtkxmsn/Super%20Star%20Wars%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-star-wars/Super%20Star%20Wars%20%28EMU%29.zophar.zip"
"Super Star Wars 2 - The Empire Strikes Back","","https://www.zophar.net/music/nintendo-snes-spc/super-star-wars-2-the-empire-strikes-back","Oct1993","SNES","Sculptured","JVC","Download all files as MP3 (71 MB)","Download original music files (919 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-star-wars-2-the-empire-strikes-back/qisrcbmh/Super%20Star%20Wars%202%20-%20The%20Empire%20Strikes%20Back%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-star-wars-2-the-empire-strikes-back/Super%20Star%20Wars%202%20-%20The%20Empire%20Strikes%20Back%20%28EMU%29.zophar.zip"
"Super Star Wars 3 - Return of the Jedi","","https://www.zophar.net/music/nintendo-snes-spc/super-star-wars-3-return-of-the-jedi","Oct1994","SNES","Sculptured","JVC","Download all files as MP3 (59 MB)","Download original music files (843 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-star-wars-3-return-of-the-jedi/eepadygb/Super%20Star%20Wars%203%20-%20Return%20of%20the%20Jedi%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-star-wars-3-return-of-the-jedi/Super%20Star%20Wars%203%20-%20Return%20of%20the%20Jedi%20%28EMU%29.zophar.zip"
"Super Street Fighter II - The New Challengers","","https://www.zophar.net/music/nintendo-snes-spc/super-street-fighter-ii-the-new-challengers","Jun 25th,1994","SNES","Capcom","Capcom","Download all files as MP3 (267 MB)","Download original music files (4 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-street-fighter-ii-the-new-challengers/vhpblvqz/Super%20Street%20Fighter%20II%20-%20The%20New%20Challengers%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-street-fighter-ii-the-new-challengers/Super%20Street%20Fighter%20II%20-%20The%20New%20Challengers%20%28EMU%29.zophar.zip"
"Super Strike Eagle","","https://www.zophar.net/music/nintendo-snes-spc/super-strike-eagle","Mar1993","SNES","MicroProse","MicroProse","Download all files as MP3 (11 MB)","Download original music files (214 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-strike-eagle/ofepmorm/Super%20Strike%20Eagle%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-strike-eagle/Super%20Strike%20Eagle%20%28EMU%29.zophar.zip"
"Super Syobo Syobo CG Collection","","https://www.zophar.net/music/nintendo-snes-spc/super-syobo-syobo-cg-collection","","SNES","","","Download all files as MP3 (21 MB)","Download original music files (64 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-syobo-syobo-cg-collection/dbsrvorw/Super%20Syobo%20Syobo%20CG%20Collection%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-syobo-syobo-cg-collection/Super%20Syobo%20Syobo%20CG%20Collection%20%28EMU%29.zophar.zip"
"Super Tekkyuu Fight!","","https://www.zophar.net/music/nintendo-snes-spc/super-tekkyuu-fight","Sep 15th,1995","SNES","Metro","Banpresto","Download all files as MP3 (32 MB)","Download original music files (599 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tekkyuu-fight/twnametv/Super%20Tekkyuu%20Fight%21%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tekkyuu-fight/Super%20Tekkyuu%20Fight%21%20%28EMU%29.zophar.zip"
"Super Tennis","","https://www.zophar.net/music/nintendo-snes-spc/super-tennis","Aug 30th,1991","SNES","Tose","Tonkin House","Download all files as MP3 (21 MB)","Download original music files (344 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tennis/wsoiswbe/Super%20Tennis%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tennis/Super%20Tennis%20%28EMU%29.zophar.zip"
"Super Tetris 2 + Bombliss","","https://www.zophar.net/music/nintendo-snes-spc/super-tetris-2-bombliss","Dec 18th,1992","SNES","Tose","Bullet-Proof Software","Download all files as MP3 (29 MB)","Download original music files (669 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tetris-2-bombliss/zyuetogf/Super%20Tetris%202%20%2B%20Bombliss%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tetris-2-bombliss/Super%20Tetris%202%20%2B%20Bombliss%20%28EMU%29.zophar.zip"
"Super Tetris 2 + Bombliss Limited Edition","","https://www.zophar.net/music/nintendo-snes-spc/super-tetris-2-bombliss-limited-edition","Jan 21st,1994","SNES","Tose","Bullet-Proof Software","Download all files as MP3 (29 MB)","Download original music files (738 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tetris-2-bombliss-limited-edition/xatjwtmd/Super%20Tetris%202%20%2B%20Bombliss%20Limited%20Edition%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tetris-2-bombliss-limited-edition/Super%20Tetris%202%20%2B%20Bombliss%20Limited%20Edition%20%28EMU%29.zophar.zip"
"Super Tetris 3","","https://www.zophar.net/music/nintendo-snes-spc/super-tetris-3","Dec 16th,1994","SNES","Tose","Bullet-Proof Software","Download all files as MP3 (116 MB)","Download original music files (1 MB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tetris-3/jjthjrru/Super%20Tetris%203%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tetris-3/Super%20Tetris%203%20%28EMU%29.zophar.zip"
"Super Troll Islands","","https://www.zophar.net/music/nintendo-snes-spc/super-troll-islands","Feb1994","SNES","Millenium","ASC","Download all files as MP3 (12 MB)","Download original music files (392 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-troll-islands/dmbvivjh/Super%20Troll%20Islands%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-troll-islands/Super%20Troll%20Islands%20%28EMU%29.zophar.zip"
"Super Trump Collection","","https://www.zophar.net/music/nintendo-snes-spc/super-trump-collection","Apr 21st,1995","SNES","","Bottom Up","Download all files as MP3 (48 MB)","Download original music files (793 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-trump-collection/bsbhabvp/Super%20Trump%20Collection%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-trump-collection/Super%20Trump%20Collection%20%28EMU%29.zophar.zip"
"Super Tsume Shougi 1000","","https://www.zophar.net/music/nintendo-snes-spc/super-tsume-shougi-1000","Dec 16th,1994","SNES","","Bottom Up","Download all files as MP3 (10 MB)","Download original music files (176 KB)","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tsume-shougi-1000/myxqnlnn/Super%20Tsume%20Shougi%201000%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-snes-spc/super-tsume-shougi-1000/Super%20Tsume%20Shougi%201000%20%28EMU%29.zophar.zip"
